building_id,upgrade,source,element_type,system_identifier,equipment_type,fuel,service_type,device_type,analysis_class,heating_capacity_btuh,heating_capacity_tons,heating_capacity_kw_thermal,cooling_capacity_btuh,cooling_capacity_tons,cooling_capacity_kw_thermal,representative_capacity_kw_thermal,backup_fuel,backup_system_type,backup_heating_capacity_btuh,backup_heating_capacity_tons,backup_heating_capacity_kw_thermal,compressor_type,annual_heating_efficiency_type,annual_heating_efficiency_value,annual_cooling_efficiency_type,annual_cooling_efficiency_value,source_file
100023,up00,home_xml,CoolingSystem,,central air conditioner,electricity,cooling,air_conditioner,cooling_system,,,,27335.0,2.2779166666666666,8.011096841807873,8.011096841807873,,,,,,,,,,,/mnt/datasets/resstock_2024/cosimulation/100023/up00/home.xml
100023,up01,home_xml,HeatPump,,air-to-air,electricity,heating_and_cooling,air_source_heat_pump,air_source_heat_pump,30776.0,2.5646666666666667,9.019554285841563,30776.0,2.5646666666666667,9.019554285841563,9.019554285841563,,,57188.0,4.765666666666666,16.760146558965015,single stage,,,,,/mnt/datasets/resstock_2024/cosimulation/100023/up01/home.xml
100023,up02,home_xml,HeatPump,,air-to-air,electricity,heating_and_cooling,air_source_heat_pump,air_source_heat_pump,59811.0,4.98425,17.528871893373722,59811.0,4.98425,17.528871893373722,17.528871893373722,,,57188.0,4.765666666666666,16.760146558965015,variable speed,,,,,/mnt/datasets/resstock_2024/cosimulation/100023/up02/home.xml
100763,up01,home_xml,HeatPump,,mini-split,electricity,heating_and_cooling,air_source_heat_pump,air_source_heat_pump,39874.0,3.322833333333333,11.68591459558248,39874.0,3.322833333333333,11.68591459558248,11.68591459558248,,,31130.0,2.5941666666666667,9.12330143352768,variable speed,,,,,/mnt/datasets/resstock_2024/cosimulation/100763/up01/home.xml
100763,up02,home_xml,HeatPump,,mini-split,electricity,heating_and_cooling,air_source_heat_pump,air_source_heat_pump,32558.0,2.7131666666666665,9.54180687673608,32558.0,2.7131666666666665,9.54180687673608,9.54180687673608,,,31130.0,2.5941666666666667,9.12330143352768,variable speed,,,,,/mnt/datasets/resstock_2024/cosimulation/100763/up02/home.xml
101380,up00,home_xml,CoolingSystem,,central air conditioner,electricity,cooling,air_conditioner,cooling_system,,,,13777.0,1.1480833333333331,4.037639699637354,4.037639699637354,,,,,,,,,,,/mnt/datasets/resstock_2024/cosimulation/101380/up00/home.xml
101380,up01,home_xml,HeatPump,,air-to-air,electricity,heating_and_cooling,air_source_heat_pump,air_source_heat_pump,15844.0,1.3203333333333334,4.643417536550355,15844.0,1.3203333333333334,4.643417536550355,4.643417536550355,,,28473.0,2.37275,8.344611683804484,single stage,,,,,/mnt/datasets/resstock_2024/cosimulation/101380/up01/home.xml
101380,up02,home_xml,HeatPump,,air-to-air,electricity,heating_and_cooling,air_source_heat_pump,air_source_heat_pump,29779.0,2.481583333333333,8.727362460296202,29779.0,2.481583333333333,8.727362460296202,8.727362460296202,,,28473.0,2.37275,8.344611683804484,variable speed,,,,,/mnt/datasets/resstock_2024/cosimulation/101380/up02/home.xml
102922,up00,home_xml,CoolingSystem,,room air conditioner,electricity,cooling,air_conditioner,cooling_system,,,,2080.0,0.1733333333333333,0.6095877604155983,0.6095877604155983,,,,,,,,,,,/mnt/datasets/resstock_2024/cosimulation/102922/up00/home.xml
102922,up01,home_xml,HeatPump,,air-to-air,electricity,heating_and_cooling,air_source_heat_pump,air_source_heat_pump,11957.0,0.9964166666666666,3.504250409273705,11957.0,0.9964166666666666,3.504250409273705,3.504250409273705,,,16790.0,1.399166666666667,4.920662739123988,single stage,,,,,/mnt/datasets/resstock_2024/cosimulation/102922/up01/home.xml
