building_id,home_xml_path,system_identifier,element_type,equipment_type,compressor_type,fuel,analysis_class,heating_capacity_btu_hr,heating_capacity_tons,heating_capacity_kw_thermal,backup_heating_capacity_btu_hr,backup_heating_capacity_tons,backup_heating_capacity_kw_thermal,backup_fuel,backup_system_type,ochre_equipment_name,ochre_fuel,ochre_capacity_w_thermal,ochre_capacity_kw_thermal,ochre_capacity_tons,ochre_eir,ochre_rated_efficiency,ochre_estimated_electric_kw,ochre_backup_capacity_w_thermal,ochre_backup_capacity_kw_thermal,ochre_backup_capacity_tons,ochre_backup_eir,ochre_estimated_backup_electric_kw,ochre_hp_lockout_c,ochre_backup_lockout_c,n_hvac_heating_records
178683,../load_profiles/cosimulation2/178683/up00/home.xml,HeatingSystem1,HeatingSystem,Boiler,,electricity,electric_heating_system_uncertain,1646.0,0.13716666666666666,0.4823949296365744,,,,,,Boiler,Electricity,482.3950488888889,0.4823950488888889,0.13716679667568674,1.0,1.0 AFUE,0.4823950488888889,,,,,,,,1
19520,../load_profiles/cosimulation2/19520/up00/home.xml,HeatingSystem1,HeatingSystem,Boiler,,electricity,electric_heating_system_uncertain,1779.0,0.14825,0.5213733777785333,,,,,,Boiler,Electricity,521.3735066666667,0.5213735066666667,0.14825014051400165,1.0,1.0 AFUE,0.5213735066666667,,,,,,,,1
67570,../load_profiles/cosimulation2/67570/up00/home.xml,HeatingSystem1,HeatingSystem,Boiler,,electricity,electric_heating_system_uncertain,1853.0,0.15441666666666667,0.5430606346394729,,,,,,Boiler,Electricity,543.0607688888889,0.5430607688888889,0.15441681302554527,1.0,1.0 AFUE,0.5430607688888889,,,,,,,,1
34237,../load_profiles/cosimulation2/34237/up00/home.xml,HeatingSystem1,HeatingSystem,Boiler,,electricity,electric_heating_system_uncertain,1965.0,0.16375,0.5758845909695435,,,,,,Boiler,Electricity,575.8847333333333,0.5758847333333333,0.16375015520517888,1.0,1.0 AFUE,0.5758847333333333,,,,,,,,1
369588,../load_profiles/cosimulation2/369588/up00/home.xml,HeatingSystem1,HeatingSystem,Boiler,,electricity,electric_heating_system_uncertain,2080.0,0.17333333333333334,0.6095877604155983,,,,,,Boiler,Electricity,609.5879111111111,0.6095879111111111,0.17333349762176695,1.0,1.0 AFUE,0.6095879111111111,,,,,,,,1
138598,../load_profiles/cosimulation2/138598/up00/home.xml,HeatingSystem1,HeatingSystem,Boiler,,electricity,electric_heating_system_uncertain,2199.0,0.18325,0.6444632140162982,,,,,,Boiler,Electricity,644.4633733333334,0.6444633733333334,0.18325017368762767,1.0,1.0 AFUE,0.6444633733333334,,,,,,,,1
257923,../load_profiles/cosimulation2/257923/up00/home.xml,HeatingSystem1,HeatingSystem,Boiler,,electricity,electric_heating_system_uncertain,2292.0,0.191,0.6717188206118034,,,,,,Boiler,Electricity,671.7189866666666,0.6717189866666666,0.19100018103321628,1.0,1.0 AFUE,0.6717189866666666,,,,,,,,1
504247,../load_profiles/cosimulation2/504247/up00/home.xml,HeatingSystem1,HeatingSystem,Boiler,,electricity,electric_heating_system_uncertain,2342.0,0.19516666666666665,0.6863723725448707,,,,,,Boiler,Electricity,686.3725422222223,0.6863725422222222,0.19516685164912415,1.0,1.0 AFUE,0.6863725422222222,,,,,,,,1
3747,../load_profiles/cosimulation2/3747/up00/home.xml,HeatingSystem1,HeatingSystem,Boiler,,electricity,electric_heating_system_uncertain,2460.0,0.205,0.7209547551069094,,,,,,Boiler,Electricity,720.9549333333333,0.7209549333333333,0.2050001943026667,1.0,1.0 AFUE,0.7209549333333333,,,,,,,,1
548581,../load_profiles/cosimulation2/548581/up00/home.xml,HeatingSystem1,HeatingSystem,Boiler,,electricity,electric_heating_system_uncertain,2603.0,0.21691666666666667,0.7628639136354818,,,,,,Boiler,Electricity,762.8641022222222,0.7628641022222222,0.21691687226416315,1.0,1.0 AFUE,0.7628641022222222,,,,,,,,1
