device_filename,building_id,element_type,equipment_type,technology,analysis_class,fuel,capacity_btuh,capacity_tons,capacity_kw_thermal,metadata_reference_estimated_electric_kw,backup_type,backup_fuel,backup_capacity_tons,backup_capacity_kw_thermal,metadata_reference_backup_electric_kw,compressor_type
ochre_load_178683.csv,178683,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,1646.0,0.1371666666666666,0.4823949296365744,0.4823950488888889,,,,,,
ochre_load_19520.csv,19520,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,1779.0,0.14825,0.5213733777785333,0.5213735066666667,,,,,,
ochre_load_67570.csv,67570,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,1853.0,0.1544166666666666,0.5430606346394729,0.5430607688888889,,,,,,
ochre_load_34237.csv,34237,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,1965.0,0.16375,0.5758845909695435,0.5758847333333333,,,,,,
ochre_load_369588.csv,369588,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,2080.0,0.1733333333333333,0.6095877604155983,0.6095879111111111,,,,,,
ochre_load_138598.csv,138598,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,2199.0,0.18325,0.6444632140162982,0.6444633733333334,,,,,,
ochre_load_257923.csv,257923,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,2292.0,0.191,0.6717188206118034,0.6717189866666666,,,,,,
ochre_load_504247.csv,504247,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,2342.0,0.1951666666666666,0.6863723725448707,0.6863725422222222,,,,,,
ochre_load_3747.csv,3747,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,2460.0,0.205,0.7209547551069094,0.7209549333333333,,,,,,
ochre_load_548581.csv,548581,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,2603.0,0.2169166666666666,0.7628639136354818,0.7628641022222222,,,,,,
ochre_load_312588.csv,312588,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,2679.0,0.22325,0.7851373125737441,0.7851375066666667,,,,,,
ochre_load_268659.csv,268659,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,2701.0,0.2250833333333333,0.7915848754242937,0.7915850711111111,,,,,,
ochre_load_232204.csv,232204,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,2799.0,0.23325,0.8203058372131055,0.8203060400000001,,,,,,
ochre_load_70065.csv,70065,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,2813.0,0.2344166666666666,0.8244088317543643,0.8244090355555556,,,,,,
ochre_load_472044.csv,472044,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,2934.0,0.2445,0.8598704274323871,0.85987064,,,,,,
ochre_load_51015.csv,51015,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,3027.0,0.25225,0.8871260340278923,0.8871262533333334,,,,,,
ochre_load_374308.csv,374308,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,3046.0,0.2538333333333333,0.8926943837624578,0.8926946044444445,,,,,,
ochre_load_180905.csv,180905,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,3092.0,0.2576666666666666,0.9061756515408796,0.9061758755555556,,,,,,
ochre_load_79776.csv,79776,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,3142.0,0.2618333333333333,0.9208292034739468,0.9208294311111112,,,,,,
ochre_load_521426.csv,521426,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,3245.0,0.2704166666666667,0.9510155204560656,0.9510157555555556,,,,,,
ochre_load_160621.csv,160621,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,3568.0,0.2973333333333333,1.04567746594368,1.0456777244444444,,,,,,
ochre_load_371350.csv,371350,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,3718.0,0.3098333333333333,1.089638121742882,1.0896383911111112,,,,,,
ochre_load_207153.csv,207153,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,3776.0,0.3146666666666666,1.1066362419852398,1.1066365155555558,,,,,,
ochre_load_325082.csv,325082,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,3777.0,0.31475,1.106929313023901,1.1069295866666666,,,,,,
ochre_load_56993.csv,56993,HeatingSystem,Boiler,electric_heating_system_uncertain,electric_heating_system_uncertain,electricity,3798.0,0.3165,1.1130838048357894,1.11308408,,,,,,
