scheme_name,sample_size,median_absolute_percentage_error,p75_absolute_percentage_error,p90_absolute_percentage_error,median_absolute_error_kw,n_bootstrap_rows
fixed_0p25_to_2_then_3plus,2,5.275348909779559,8.985707725510876,12.726482070020301,0.1064615781858339,10000
fixed_0p25_to_2_then_3plus,3,4.175576062253942,7.127502163182647,10.488625983610683,0.13041104204827914,10000
fixed_0p25_to_2_then_3plus,4,3.605766482181557,6.192474591435534,9.132719627814055,0.15048422148601093,10000
fixed_0p25_to_2_then_3plus,5,3.2347634406701524,5.6024155233580455,8.286252635360956,0.16885307812247374,10000
fixed_0p25_to_2_then_3plus,6,2.976270868334854,5.230984824945525,7.708877636493486,0.1853337718636312,10000
fixed_0p25_to_2_then_3plus,8,2.5933986203310853,4.5168869279958885,6.767214391584477,0.21286617116302775,10000
fixed_0p25_to_2_then_3plus,10,2.3430811376777245,4.042124451455002,6.118048802401506,0.23820284610000497,10000
fixed_0p25_to_2_then_3plus,13,2.0689000354957354,3.670525286874617,5.4136780625637675,0.2764804806952128,10000
fixed_0p5_1_2_3_5plus,2,6.822303914138965,11.854363814111828,17.864778123837848,0.19016219627764364,7500
fixed_0p5_1_2_3_5plus,3,5.479293192989499,9.543040269346415,14.147241369329219,0.21679963293823024,7500
fixed_0p5_1_2_3_5plus,4,4.674002289895332,8.19664425626344,12.239035325923556,0.2511475201813129,7500
fixed_0p5_1_2_3_5plus,5,4.119166611025055,7.371027536042968,11.049095855092341,0.2797625699497832,7500
fixed_0p5_1_2_3_5plus,6,3.6440707480770635,6.748923926961563,10.233828468058707,0.305206572702748,7500
fixed_0p5_1_2_3_5plus,8,3.55837434863705,6.1591817973224225,9.217889607723635,0.3257051195047267,7000
fixed_0p5_1_2_3_5plus,10,3.1767305825777714,5.415870898579296,8.152430813705664,0.3752939938433464,7000
fixed_0p5_1_2_3_5plus,13,2.8094549175949846,4.8850308200354124,7.134577331077542,0.42055959245294794,7000
fixed_0p5_to_2_then_wide,2,5.243087562091203,9.360388558740569,14.046564605381343,0.1345791414985168,9500
fixed_0p5_to_2_then_wide,3,4.208683225435183,7.655599325292749,11.557442387528836,0.16420002108832832,9500
fixed_0p5_to_2_then_wide,4,3.716341203937231,6.725426904626312,10.180757651932648,0.19200944880265114,9500
fixed_0p5_to_2_then_wide,5,3.3671000555472848,5.998892732066134,9.056501030314228,0.2150015404007659,9500
fixed_0p5_to_2_then_wide,6,3.1121635689568845,5.525416950658255,8.53565141408957,0.23474594228493917,9500
fixed_0p5_to_2_then_wide,8,2.9063331933452066,5.024250495748758,7.583950823398648,0.29133377069752875,9000
fixed_0p5_to_2_then_wide,10,2.6730191188736256,4.608683156164034,6.839445856429893,0.33065619310982086,9000
fixed_0p5_to_2_then_wide,13,2.417944144047131,4.173288343897551,6.223831754272258,0.38635042436394684,9000
