scheme_name,sample_size,median_absolute_percentage_error,p75_absolute_percentage_error,p90_absolute_percentage_error,median_absolute_error_kw,n_bootstrap_rows
fixed_0p5_to_3_then_4plus,2,4.3190010506217655,7.906186317454952,12.834051709117261,0.12230143075583211,11000
fixed_0p5_to_3_then_4plus,3,3.4448908179987985,6.534580511840216,10.563185686049106,0.15236805148902133,11000
fixed_0p5_to_3_then_4plus,4,2.885097568587038,5.630048254401724,9.234185284953345,0.1706519650294709,11000
fixed_0p5_to_3_then_4plus,5,2.6180997808133792,5.081061084145322,8.244614946192943,0.18961006822453208,11000
fixed_0p5_to_3_then_4plus,6,2.3461896737735604,4.6042567617053995,7.563060918737902,0.20491226349717184,11000
fixed_0p5_to_3_then_4plus,8,2.1642099274882556,4.15794041654575,6.792200022596728,0.2537114139282446,10500
fixed_0p5_to_3_then_4plus,10,2.0943247119249877,3.9241487267101594,6.253960777001523,0.2877381411026727,10000
fixed_0p5_to_3_then_4plus,13,1.8804897089564228,3.6617877377437873,5.767349991868548,0.3326891644114527,10000
fixed_1kw_bins,2,5.94428581061365,11.777670045129998,20.00578529779879,0.25088586571704297,7000
fixed_1kw_bins,3,4.721005630224611,9.615342981117472,16.092410105563104,0.2893625803880684,7000
fixed_1kw_bins,4,4.042134802490642,8.06805176547928,13.614428412109834,0.32163403732534324,7000
fixed_1kw_bins,5,3.602243256542474,7.222458142932892,12.265822979683545,0.364073235948279,7000
fixed_1kw_bins,6,3.330424014299566,6.589379574870636,11.129810340836466,0.3997761485073257,7000
fixed_1kw_bins,8,3.2936000140418837,6.269213261280171,10.323044164534595,0.473747270008535,6000
fixed_1kw_bins,10,3.0104917390168997,5.711104499466346,9.449256427798336,0.5364990918621309,6000
fixed_1kw_bins,13,2.60986830280943,4.982477012617082,8.208637248391966,0.6281654925342384,6000
fixed_small_medium_large,2,8.255491247761842,15.919615033060623,23.57998456917193,0.24407379635803406,5500
fixed_small_medium_large,3,6.99828084638674,12.986625538088852,19.012673308471726,0.3074072154817231,5500
fixed_small_medium_large,4,6.314905031213145,11.187343645333112,16.873109429994976,0.36288634617459303,5500
fixed_small_medium_large,5,5.53046817720078,10.22688514894164,15.150740953150411,0.3928657870032388,5500
fixed_small_medium_large,6,5.059795372672804,9.451372794064936,13.803753553697955,0.4325068852883627,5500
fixed_small_medium_large,8,5.240073269504158,8.795485950229459,12.339206951673015,0.5923656388026206,5000
fixed_small_medium_large,10,4.79049149812636,8.08060283801559,11.241665053164713,0.656110259564537,5000
fixed_small_medium_large,13,4.346168622270765,7.221294476821033,10.408683544820718,0.8109412076632765,5000
pooled_quantile_3_bins,2,10.304546638314589,17.728213760459905,26.646232755054438,0.2380060313921657,4500
pooled_quantile_3_bins,3,8.1303079078427,14.143264764127835,21.49570916143527,0.28725922430678885,4500
pooled_quantile_3_bins,4,7.040072299209886,12.519819616007588,19.305622539722037,0.32747516565246637,4500
pooled_quantile_3_bins,5,6.348126275527729,11.273293068396635,17.523847925504374,0.37209583876145036,4500
pooled_quantile_3_bins,6,5.970477995677662,10.552233478903831,16.430050451212463,0.4089695081095974,4500
pooled_quantile_3_bins,8,5.0269743778304345,9.14834707102256,14.112946280132967,0.46650025683521834,4500
pooled_quantile_3_bins,10,4.668949470207055,8.300175100451497,13.406214492263397,0.5365132208138395,4500
pooled_quantile_3_bins,13,4.139735371339909,7.530344925119142,11.987927708486351,0.6139494769863898,4500
pooled_quantile_4_bins,2,7.6344214940648545,13.463914741448825,20.409636157613928,0.17777076115904544,6000
pooled_quantile_4_bins,3,6.365109721167197,11.017902425028371,16.712785939813255,0.21484488685182912,6000
pooled_quantile_4_bins,4,5.384701413825564,9.574211932179272,14.92929170449317,0.24421402094297107,6000
pooled_quantile_4_bins,5,4.685413079404414,8.338759930509827,13.270551252042232,0.2635463466431647,6000
pooled_quantile_4_bins,6,4.390885557961857,7.854565517130143,12.457244603917905,0.3034111134963873,6000
pooled_quantile_4_bins,8,3.9391128002709066,7.020248533999434,11.027144374038674,0.3588954084231748,6000
pooled_quantile_4_bins,10,3.5769098321591506,6.444491971682362,10.51619109582144,0.3986055571201885,6000
pooled_quantile_4_bins,13,3.2916824017279787,5.875662790151888,9.113289805283543,0.47964201381135707,6000
pooled_quantile_5_bins,2,6.224865743756238,10.801097092434667,16.175839088394625,0.14336456710822398,7500
pooled_quantile_5_bins,3,4.969516281911468,8.743955602930154,13.915476017271256,0.17435286006782746,7500
pooled_quantile_5_bins,4,4.107935584790285,7.47734729046595,11.96444084293393,0.19190045406466338,7500
pooled_quantile_5_bins,5,3.702881015057934,6.660897096070201,10.72264166644965,0.2115507900813023,7500
pooled_quantile_5_bins,6,3.491724587211584,6.264171348935824,10.021735794777516,0.24060573528847118,7500
pooled_quantile_5_bins,8,2.9908611899386166,5.377401991363492,8.925805242911956,0.27467760487219994,7500
pooled_quantile_5_bins,10,2.664841006460259,4.8150197716597765,8.112605169580855,0.3032756161292185,7500
pooled_quantile_5_bins,13,2.3593890254985856,4.340869682803747,7.486718963571962,0.3514321731148313,7500
pooled_quantile_6_bins,2,5.103978766784181,9.025065621866323,14.09285662337229,0.11993867679265957,9000
pooled_quantile_6_bins,3,4.048526193895695,7.2288630918581545,11.615156981877337,0.14439796959694107,9000
pooled_quantile_6_bins,4,3.4523874612507517,6.2069509429540854,10.055180489771269,0.15990707926576286,9000
pooled_quantile_6_bins,5,3.2221474035881226,5.7715514916601505,9.464591698750569,0.1821573191546717,9000
pooled_quantile_6_bins,6,2.9290774198398126,5.1878389998419365,8.485687682173683,0.20150169072338775,9000
pooled_quantile_6_bins,8,2.537399384907313,4.554400466960825,7.798731700960679,0.23090341760661381,9000
pooled_quantile_6_bins,10,2.3028837980199395,4.178295813521757,7.068295808075386,0.2625567394432107,9000
pooled_quantile_6_bins,13,2.0153038153407663,3.749505524146059,6.390421313495488,0.2933918459034963,9000
pooled_quantile_7_bins,2,4.374455614060244,7.67266010542292,11.697394724791744,0.10291479946749266,10500
pooled_quantile_7_bins,3,3.4748385024191593,6.117369201835067,9.808818052788952,0.1217702421437723,10500
pooled_quantile_7_bins,4,3.055308849798121,5.441613455566056,8.679747810415051,0.1420756599401587,10500
pooled_quantile_7_bins,5,2.6647294622624287,4.770254447588339,7.928497642998081,0.15593409220049104,10500
pooled_quantile_7_bins,6,2.427177382251492,4.344139546665157,7.2480964039538485,0.17097567603052521,10500
pooled_quantile_7_bins,8,2.1432853315896443,3.795593311088466,6.425481789576625,0.19639329655861282,10500
pooled_quantile_7_bins,10,1.8602142052517583,3.3587842769742124,6.053537773709214,0.21791549782225283,10500
pooled_quantile_7_bins,13,1.636211917264296,3.0383084014942963,5.450798515046584,0.25631957702830377,10500
pooled_quantile_8_bins,2,3.7787510006282234,6.666850838691848,10.489627925415723,0.08816178750862058,12000
pooled_quantile_8_bins,3,3.037496595646738,5.3024094323948185,8.486962085724448,0.10701115877339218,12000
pooled_quantile_8_bins,4,2.5701727364230793,4.616227171468035,7.768003373313079,0.12135806893907297,12000
pooled_quantile_8_bins,5,2.306007108390577,4.08880447902801,6.970797836354504,0.1347492066657796,12000
pooled_quantile_8_bins,6,2.128325526207676,3.8384853350577433,6.3876116807564465,0.14884893586201553,12000
pooled_quantile_8_bins,8,1.8101914118926792,3.327648099117584,5.692566247275421,0.16961297157181576,12000
pooled_quantile_8_bins,10,1.5950938032696569,2.9807241271197964,5.276536288311665,0.18833627014644883,12000
pooled_quantile_8_bins,13,1.4862843653790514,2.7308843762179165,5.027729947957425,0.21569823790836207,11500
