scheme_name,n_bins,labels,total_devices,nonempty_group_count,empty_group_count,weak_group_count_below_preferred,coverage_minimum_groups,coverage_preferred_groups,weighted_cv_peak_kw,weighted_small_group_mape_percent,p90_small_group_mape_percent,median_small_group_mae_kw,score_lower_is_better,median_mape_n2,median_mape_n3,median_mape_n4,median_mape_n5,median_mape_n6,median_mape_n8,median_mape_n10,median_mape_n13
pooled_quantile_8_bins,8,0-0.6127 | 0.6127-0.8168 | 0.8168-1.0127 | 1.0127-1.257 | 1.257-1.5372 | 1.5372-1.8822 | 1.8822-2.4191 | 2.4191+,2082,24,0,1,1.0,0.9942363112391931,0.0928503073155144,2.5874247721067944,7.395317793410982,0.1386406448324342,4.502067806025152,3.7787510006282234,3.037496595646738,2.5701727364230793,2.306007108390577,2.128325526207676,1.8101914118926792,1.5950938032696569,1.4862843653790514
pooled_quantile_7_bins,7,0-0.6439 | 0.6439-0.8782 | 0.8782-1.1077 | 1.1077-1.4156 | 1.4156-1.7787 | 1.7787-2.3255 | 2.3255+,2082,21,0,0,1.0,1.0,0.10653043712127717,2.9947689099389754,8.372310411004523,0.16089851593206905,5.125377652364518,4.374455614060244,3.4748385024191593,3.055308849798121,2.6647294622624287,2.427177382251492,2.1432853315896443,1.8602142052517583,1.636211917264296
pooled_quantile_6_bins,6,0-0.6839 | 0.6839-0.9422 | 0.9422-1.257 | 1.257-1.6396 | 1.6396-2.1899 | 2.1899+,2082,18,0,0,1.0,1.0,0.12105241117700559,3.5228056711841282,9.780382425980441,0.18706010706277443,5.94385389472424,5.103978766784181,4.048526193895695,3.4523874612507517,3.2221474035881226,2.9290774198398126,2.537399384907313,2.3028837980199395,2.0153038153407663
pooled_quantile_5_bins,5,0-0.736 | 0.736-1.0641 | 1.0641-1.4808 | 1.4808-2.0437 | 2.0437+,2082,15,0,0,1.0,1.0,0.14284451706863496,4.218433852600825,11.4623710745527,0.22262034151981452,7.075324193973524,6.224865743756238,4.969516281911468,4.107935584790285,3.702881015057934,3.491724587211584,2.9908611899386166,2.664841006460259,2.3593890254985856
fixed_0p5_to_3_then_4plus,8,0-0.5 | 0.5-1 | 1-1.5 | 1.5-2 | 2-2.5 | 2.5-3 | 3-4 | 4+,2082,22,2,2,1.0,0.9923150816522575,0.12282793276361922,2.9674653114559786,8.504761427164565,0.20215948747516332,7.500873150205789,4.3190010506217655,3.4448908179987985,2.885097568587038,2.6180997808133792,2.3461896737735604,2.1642099274882556,2.0943247119249877,1.8804897089564228
fixed_0p5_to_2_then_wide,7,0-0.5 | 0.5-1 | 1-1.5 | 1.5-2 | 2-3 | 3-4 | 4+,2082,19,2,1,1.0,0.9966378482228626,0.1309013232785556,3.741739739523805,9.482813531720176,0.22802312780471545,8.393387722866292,5.243087562091203,4.208683225435183,3.716341203937231,3.3671000555472848,3.1121635689568845,2.9063331933452066,2.6730191188736256,2.417944144047131
pooled_quantile_4_bins,4,0-0.8168 | 0.8168-1.257 | 1.257-1.8822 | 1.8822+,2082,12,0,0,1.0,1.0,0.17290672770564305,5.377752268423533,14.034446238709181,0.2826508658025917,8.835886822536395,7.6344214940648545,6.365109721167197,5.384701413825564,4.685413079404414,4.390885557961857,3.9391128002709066,3.5769098321591506,3.2916824017279787
fixed_0p25_to_2_then_3plus,8,0-0.25 | 0.25-0.5 | 0.5-0.75 | 0.75-1 | 1-1.5 | 1.5-2 | 2-3 | 3+,2082,20,4,0,1.0,1.0,0.10650874516931125,3.6187103371860347,8.639761034700204,0.17586571222086667,9.74888524057226,5.275348909779559,4.175576062253942,3.605766482181557,3.2347634406701524,2.976270868334854,2.5933986203310853,2.3430811376777245,2.0689000354957354
fixed_0p5_1_2_3_5plus,6,0-0.5 | 0.5-1 | 1-2 | 2-3 | 3-5 | 5+,2082,15,3,1,1.0,0.9966378482228626,0.17199988403875996,4.69694558139205,11.639081081215783,0.282760477612924,11.170564779938625,6.822303914138965,5.479293192989499,4.674002289895332,4.119166611025055,3.6440707480770635,3.55837434863705,3.1767305825777714,2.8094549175949846
fixed_small_medium_large,4,0-1 | 1-2 | 2-4 | 4+,2082,11,1,1,1.0,0.9966378482228626,0.21577495267002889,6.21158242869573,15.69188928513666,0.4300082945738193,11.560702999867681,8.255491247761842,6.99828084638674,6.314905031213145,5.53046817720078,5.059795372672804,5.240073269504158,4.79049149812636,4.346168622270765
pooled_quantile_3_bins,3,0-0.9422 | 0.9422-1.6396 | 1.6396+,2082,9,0,0,1.0,1.0,0.22445013232619207,7.09485833181599,18.16868036086664,0.3820531280798076,11.583860978339832,10.304546638314589,8.1303079078427,7.040072299209886,6.348126275527729,5.970477995677662,5.0269743778304345,4.668949470207055,4.139735371339909
fixed_1kw_bins,6,0-1 | 1-2 | 2-3 | 3-4 | 4-5 | 5+,2082,14,4,2,1.0,0.9932756964457252,0.19929156837995318,4.141116821914295,12.900383247037187,0.37753255810092234,12.194191225056105,5.94428581061365,4.721005630224611,4.042134802490642,3.602243256542474,3.330424014299566,3.2936000140418837,3.0104917390168997,2.60986830280943
